,0
220,"2Russell Westbrook, PGWashington Wizards$41,358,814"
221,"4James Harden, SGBrooklyn Nets$41,254,920"
222,"6Kevin Durant, PFBrooklyn Nets$40,108,950"
223,"8Blake Griffin, PFDetroit Pistons$36,810,996"
224,"10Klay Thompson, SGGolden State Warriors$35,361,360"
225,"12Jimmy Butler, SFMiami Heat$34,379,100"
226,"14Kemba Walker, PGBoston Celtics$34,379,100"
227,"16Khris Middleton, SFMilwaukee Bucks$33,051,724"
228,"18Kyrie Irving, PGBrooklyn Nets$31,742,000"
229,"20Kevin Love, PFCleveland Cavaliers$31,258,256"
230,"22Ben Simmons, PGPhiladelphia 76ers$30,559,200"
231,"24Steven Adams, CNew Orleans Pelicans$29,592,696"
232,"26Andrew Wiggins, SFGolden State Warriors$29,542,010"
233,"28Devin Booker, SGPhoenix Suns$29,467,800"
234,"30Kristaps Porzingis, CDallas Mavericks$29,467,800"
235,"32Bradley Beal, SGWashington Wizards$28,751,775"
236,"34D'Angelo Russell, PGMinnesota Timberwolves$28,649,250"
237,"36Otto Porter Jr., SFChicago Bulls$28,489,237"
238,"38Giannis Antetokounmpo, PFMilwaukee Bucks$27,528,090"
239,"40Al Horford, COklahoma City Thunder$27,500,000"
240,"1Stephen Curry, PGGolden State Warriors$43,006,362"
241,"3Chris Paul, PGPhoenix Suns$41,358,814"
242,"5John Wall, PGHouston Rockets$41,254,920"
243,"7LeBron James, SFLos Angeles Lakers$39,219,565"
244,"9Paul George, SGLA Clippers$35,450,412"
245,"11Mike Conley, PGUtah Jazz$34,502,130"
246,"13Kawhi Leonard, SFLA Clippers$34,379,100"
247,"15Tobias Harris, PFPhiladelphia 76ers$34,358,850"
248,"17Anthony Davis, PFLos Angeles Lakers$32,742,000"
249,"19Damian Lillard, PGPortland Trail Blazers$31,626,953"
250,"21Pascal Siakam, PFToronto Raptors$30,559,200"
251,"23Kyle Lowry, PGToronto Raptors$30,500,000"
252,"25Joel Embiid, CPhiladelphia 76ers$29,542,010"
253,"27Nikola Jokic, CDenver Nuggets$29,542,010"
254,"29Karl-Anthony Towns, CMinnesota Timberwolves$29,467,800"
255,"31CJ McCollum, SGPortland Trail Blazers$29,354,152"
256,"33Andre Drummond, CCleveland Cavaliers$28,751,775"
257,"35Gordon Hayward, SFCharlotte Hornets$28,500,000"
258,"37DeMar DeRozan, SFSan Antonio Spurs$27,739,975"
259,"39Rudy Gobert, CUtah Jazz$27,525,281"
260,"2Russell Westbrook, PGWashington Wizards$41,358,814"
261,"4James Harden, SGBrooklyn Nets$41,254,920"
262,"6Kevin Durant, PFBrooklyn Nets$40,108,950"
263,"8Blake Griffin, PFDetroit Pistons$36,810,996"
264,"10Klay Thompson, SGGolden State Warriors$35,361,360"
265,"12Jimmy Butler, SFMiami Heat$34,379,100"
266,"14Kemba Walker, PGBoston Celtics$34,379,100"
267,"16Khris Middleton, SFMilwaukee Bucks$33,051,724"
268,"18Kyrie Irving, PGBrooklyn Nets$31,742,000"
269,"20Kevin Love, PFCleveland Cavaliers$31,258,256"
270,"22Ben Simmons, PGPhiladelphia 76ers$30,559,200"
271,"24Steven Adams, CNew Orleans Pelicans$29,592,696"
272,"26Andrew Wiggins, SFGolden State Warriors$29,542,010"
273,"28Devin Booker, SGPhoenix Suns$29,467,800"
274,"30Kristaps Porzingis, CDallas Mavericks$29,467,800"
275,"32Bradley Beal, SGWashington Wizards$28,751,775"
276,"34D'Angelo Russell, PGMinnesota Timberwolves$28,649,250"
277,"36Otto Porter Jr., SFChicago Bulls$28,489,237"
278,"38Giannis Antetokounmpo, PFMilwaukee Bucks$27,528,090"
279,"40Al Horford, COklahoma City Thunder$27,500,000"
280,"1Stephen Curry, PGGolden State Warriors$43,006,362"
281,"3Chris Paul, PGPhoenix Suns$41,358,814"
282,"5John Wall, PGHouston Rockets$41,254,920"
283,"7LeBron James, SFLos Angeles Lakers$39,219,565"
284,"9Paul George, SGLA Clippers$35,450,412"
285,"11Mike Conley, PGUtah Jazz$34,502,130"
286,"13Kawhi Leonard, SFLA Clippers$34,379,100"
287,"15Tobias Harris, PFPhiladelphia 76ers$34,358,850"
288,"17Anthony Davis, PFLos Angeles Lakers$32,742,000"
289,"19Damian Lillard, PGPortland Trail Blazers$31,626,953"
290,"21Pascal Siakam, PFToronto Raptors$30,559,200"
291,"23Kyle Lowry, PGToronto Raptors$30,500,000"
292,"25Joel Embiid, CPhiladelphia 76ers$29,542,010"
293,"27Nikola Jokic, CDenver Nuggets$29,542,010"
294,"29Karl-Anthony Towns, CMinnesota Timberwolves$29,467,800"
295,"31CJ McCollum, SGPortland Trail Blazers$29,354,152"
296,"33Andre Drummond, CCleveland Cavaliers$28,751,775"
297,"35Gordon Hayward, SFCharlotte Hornets$28,500,000"
298,"37DeMar DeRozan, SFSan Antonio Spurs$27,739,975"
299,"39Rudy Gobert, CUtah Jazz$27,525,281"
300,"2Russell Westbrook, PGWashington Wizards$41,358,814"
301,"4James Harden, SGBrooklyn Nets$41,254,920"
302,"6Kevin Durant, PFBrooklyn Nets$40,108,950"
303,"8Blake Griffin, PFDetroit Pistons$36,810,996"
304,"10Klay Thompson, SGGolden State Warriors$35,361,360"
305,"12Jimmy Butler, SFMiami Heat$34,379,100"
306,"14Kemba Walker, PGBoston Celtics$34,379,100"
307,"16Khris Middleton, SFMilwaukee Bucks$33,051,724"
308,"18Kyrie Irving, PGBrooklyn Nets$31,742,000"
309,"20Kevin Love, PFCleveland Cavaliers$31,258,256"
310,"22Ben Simmons, PGPhiladelphia 76ers$30,559,200"
311,"24Steven Adams, CNew Orleans Pelicans$29,592,696"
312,"26Andrew Wiggins, SFGolden State Warriors$29,542,010"
313,"28Devin Booker, SGPhoenix Suns$29,467,800"
314,"30Kristaps Porzingis, CDallas Mavericks$29,467,800"
315,"32Bradley Beal, SGWashington Wizards$28,751,775"
316,"34D'Angelo Russell, PGMinnesota Timberwolves$28,649,250"
317,"36Otto Porter Jr., SFChicago Bulls$28,489,237"
318,"38Giannis Antetokounmpo, PFMilwaukee Bucks$27,528,090"
319,"40Al Horford, COklahoma City Thunder$27,500,000"
320,"1Stephen Curry, PGGolden State Warriors$43,006,362"
321,"3Chris Paul, PGPhoenix Suns$41,358,814"
322,"5John Wall, PGHouston Rockets$41,254,920"
323,"7LeBron James, SFLos Angeles Lakers$39,219,565"
324,"9Paul George, SGLA Clippers$35,450,412"
325,"11Mike Conley, PGUtah Jazz$34,502,130"
326,"13Kawhi Leonard, SFLA Clippers$34,379,100"
327,"15Tobias Harris, PFPhiladelphia 76ers$34,358,850"
328,"17Anthony Davis, PFLos Angeles Lakers$32,742,000"
329,"19Damian Lillard, PGPortland Trail Blazers$31,626,953"
330,"21Pascal Siakam, PFToronto Raptors$30,559,200"
331,"23Kyle Lowry, PGToronto Raptors$30,500,000"
332,"25Joel Embiid, CPhiladelphia 76ers$29,542,010"
333,"27Nikola Jokic, CDenver Nuggets$29,542,010"
334,"29Karl-Anthony Towns, CMinnesota Timberwolves$29,467,800"
335,"31CJ McCollum, SGPortland Trail Blazers$29,354,152"
336,"33Andre Drummond, CCleveland Cavaliers$28,751,775"
337,"35Gordon Hayward, SFCharlotte Hornets$28,500,000"
338,"37DeMar DeRozan, SFSan Antonio Spurs$27,739,975"
339,"39Rudy Gobert, CUtah Jazz$27,525,281"
340,"2Russell Westbrook, PGWashington Wizards$41,358,814"
341,"4James Harden, SGBrooklyn Nets$41,254,920"
342,"6Kevin Durant, PFBrooklyn Nets$40,108,950"
343,"8Blake Griffin, PFDetroit Pistons$36,810,996"
344,"10Klay Thompson, SGGolden State Warriors$35,361,360"
345,"12Jimmy Butler, SFMiami Heat$34,379,100"
346,"14Kemba Walker, PGBoston Celtics$34,379,100"
347,"16Khris Middleton, SFMilwaukee Bucks$33,051,724"
348,"18Kyrie Irving, PGBrooklyn Nets$31,742,000"
349,"20Kevin Love, PFCleveland Cavaliers$31,258,256"
350,"22Ben Simmons, PGPhiladelphia 76ers$30,559,200"
351,"24Steven Adams, CNew Orleans Pelicans$29,592,696"
352,"26Andrew Wiggins, SFGolden State Warriors$29,542,010"
353,"28Devin Booker, SGPhoenix Suns$29,467,800"
354,"30Kristaps Porzingis, CDallas Mavericks$29,467,800"
355,"32Bradley Beal, SGWashington Wizards$28,751,775"
356,"34D'Angelo Russell, PGMinnesota Timberwolves$28,649,250"
357,"36Otto Porter Jr., SFChicago Bulls$28,489,237"
358,"38Giannis Antetokounmpo, PFMilwaukee Bucks$27,528,090"
359,"40Al Horford, COklahoma City Thunder$27,500,000"
360,"1Stephen Curry, PGGolden State Warriors$43,006,362"
361,"3Chris Paul, PGPhoenix Suns$41,358,814"
362,"5John Wall, PGHouston Rockets$41,254,920"
363,"7LeBron James, SFLos Angeles Lakers$39,219,565"
364,"9Paul George, SGLA Clippers$35,450,412"
365,"11Mike Conley, PGUtah Jazz$34,502,130"
366,"13Kawhi Leonard, SFLA Clippers$34,379,100"
367,"15Tobias Harris, PFPhiladelphia 76ers$34,358,850"
368,"17Anthony Davis, PFLos Angeles Lakers$32,742,000"
369,"19Damian Lillard, PGPortland Trail Blazers$31,626,953"
370,"21Pascal Siakam, PFToronto Raptors$30,559,200"
371,"23Kyle Lowry, PGToronto Raptors$30,500,000"
372,"25Joel Embiid, CPhiladelphia 76ers$29,542,010"
373,"27Nikola Jokic, CDenver Nuggets$29,542,010"
374,"29Karl-Anthony Towns, CMinnesota Timberwolves$29,467,800"
375,"31CJ McCollum, SGPortland Trail Blazers$29,354,152"
376,"33Andre Drummond, CCleveland Cavaliers$28,751,775"
377,"35Gordon Hayward, SFCharlotte Hornets$28,500,000"
378,"37DeMar DeRozan, SFSan Antonio Spurs$27,739,975"
379,"39Rudy Gobert, CUtah Jazz$27,525,281"
380,"2Russell Westbrook, PGWashington Wizards$41,358,814"
381,"4James Harden, SGBrooklyn Nets$41,254,920"
382,"6Kevin Durant, PFBrooklyn Nets$40,108,950"
383,"8Blake Griffin, PFDetroit Pistons$36,810,996"
